"Country" "CCode" "SL.AGR.EMPL.MA.ZS" "SP.RUR.TOTL.ZS" "SH.TBS.INCD" "SM.POP.NETM" "SP.URB.TOTL.IN.ZS" "EN.ATM.CO2E.PC" "EG.ELC.ACCS.ZS" "EN.URB.MCTY.TL.ZS" "SP.POP.TOTL" "SI.POV.DDAY" "NY.GDP.MKTP.KD.ZG" "NE.IMP.GNFS.ZS" "FP.CPI.TOTL.ZG" "SE.XPD.TOTL.GD.ZS" "SL.UEM.TOTL.ZS" "SE.ADT.LITR.ZS" "EG.USE.COMM.FO.ZS" "EN.POP.SLUM.UR.ZS" "EN.ATM.PM25.MC.ZS" "BX.KLT.DINV.CD.WD" "BN.CAB.XOKA.CD" "FI.RES.TOTL.CD" "SP.DYN.LE00.FE.IN" "SP.DYN.LE00.MA.IN" "SG.TIM.UWRK.FE" "SH.SGR.CRSK.ZS" "SH.SGR.PROC.P5" "SP.POP.65UP.TO.ZS" "SH.MED.BEDS.ZS" "SH.STA.DIAB.ZS" "SH.DTH.NCOM.ZS" "SP.DYN.IMRT.IN" "IS.AIR.DPRT" "IE.PPI.TRAN.CD" "SI.POV.GINI" "SI.DST.10TH.10" "SI.DST.FRST.10" "SI.POV.URHC" "SI.POV.RUHC" "ST.INT.XPND.MP.ZS" "ST.INT.RCPT.XP.ZS" "GC.XPN.TOTL.GD.ZS" "SP.DYN.LE00.FE.IN" "GB.XPD.RSDV.GD.ZS" "SP.POP.SCIE.RD.P6" "SL.GDP.PCAP.EM.KD" "LP.LPI.OVRL.XQ" "EN.URB.LCTY.UR.ZS" "EN.POP.DNST" "SH.STA.TRAF.P5"
"31" "Bhutan" "BTN" 51.109001159668 59.105 149 1600 40.895 1.39222953427828 97.7 NA 754394 NA 3.02764059455085 55.8915879319988 NA 6.64043 2.18700003623962 NA NA NA 100 2649712.66204277 -497629633.212195 987247035.583982 71.444 70.822 NA 12.4 2639 6.00301171280561 NA 10.3 68.6 24.8 5187 NA NA NA NA NA NA 6.26530993376602 15.5411911787977 NA 71.444 NA NA 20435.7109375 2.17 NA 19.7775277714448 17.4
"32" "Botswana" "BWA" 26.8390007019043 30.554 275 14999 69.446 3.3674513337553 62.8249473571777 NA 2254126 NA 4.45358456639946 37.7659524881694 NA NA 18.1919994354248 NA NA NA 100 228718290.832085 345270348.558078 6656913637.84624 71.559 65.79 NA 13.8 NA 4.22387434629301 NA 5.8 45.7 30 6774 NA NA NA NA NA NA 3.681548740744 7.8366555775719 23.638997516755 71.559 NA NA 40666.953125 NA NA 3.97742487604327 23.8
"33" "Central African Republic" "CAF" 70.6709976196289 58.636 540 -2e+05 41.364 0.0673571264567361 29.9820384979248 NA 4666377 NA 3.78944359275462 46.9800224539673 NA NA 6.52199983596802 37.39582 NA 93.3 100 17994743.8433 NA 361797180.317651 54.354 50.152 NA NA NA 2.82577370666008 NA 6 26 84.5 NA NA NA NA NA NA NA NA NA NA 54.354 NA NA 1819.29504394531 2.15 44.0858978344213 7.49041221227006 33.6
"34" "Canada" "CAN" 1.98599994182587 18.589 5.6 1210159 81.411 15.1589272191963 100 45.9325268972145 37058856 NA 1.89697475634192 34.0930504449183 1.94926902411596 NA 6.05700016021729 NA 74.089062024806 NA 0 46542783393.9787 -45322715617.2744 83925602808.0082 84.308 80.288 NA 0.4 NA 17.2320066788651 NA 7.6 88.3 4.3 1475062.58618088 NA NA NA NA NA NA 5.77826805574899 4.03415384669407 17.3245483953618 84.308 1.55277 NA 87936.3984375 3.73 20.1605171497434 4.07530821431988 5.8
"35" "Central Europe and the Baltics" "CEB" 11.2040766783601 37.6679239372373 NA -642033 62.3320760627627 6.14888253990517 100 NA 102511922 NA 4.30552722463898 62.3795567136838 2.33450937988024 NA 4.08356916935059 NA 79.3637383740291 NA 97.949799120324 -23842681325.0737 NA NA 80.8829291478305 73.3777083800028 NA 8.15574899735596 NA 18.4601184961471 NA 6.29606751951231 91.5396100333375 4.18912048866177 528364 NA NA NA NA NA NA 3.66323761554327 6.16940791783825 NA 80.8829291478305 NA NA 61685.5248927205 3.21545454545455 16.9480351231389 92.7664366303472 8.85670595228711
"36" "Switzerland" "CHE" 3.51600003242493 26.203 6.4 259999 73.797 4.31156299409097 100 16.0954861614625 8516543 NA 2.75051698095396 53.9033954564242 0.362916004520384 NA 4.87400007247925 NA 50.1682254807986 NA 49.3001362303515 -67677224099.7803 74099963146.712 787021335043.725 85.6 81.7 NA 2.9 NA 18.6232165647717 NA 5.7 89.6 3.7 219782 NA NA NA NA NA NA 5.43604751623313 4.38504393766401 16.9715587456091 85.6 NA NA 106681.3671875 3.9 21.8104892749397 215.521378417094 2.7
"37" "Channel Islands" "CHI" 5.14799976348877 69.086 NA 6754 30.914 NA NA NA 170499 NA NA NA NA NA 7.23299980163574 NA NA NA NA NA NA NA 84.677 80.769 NA NA NA 17.2974621552033 NA 3.9 NA NA NA NA NA NA NA NA NA NA NA NA 84.677 NA NA 109422.234375 NA NA 861.106093786457 NA
"38" "Chile" "CHL" 11.7700004577637 12.436 18 558539 87.564 4.64906220009855 100 35.6682894481119 18729160 NA 4.02465296525456 28.7191327028464 2.55754475703323 NA 7.43200016021729 NA 74.6472122625678 NA 97.6630177077565 6082221197.63492 -9157260644.9725 39858824174.8114 82.333 77.333 NA 9.4 NA 11.5298016568816 NA 8.6 84.7 6.2 134661 NA NA NA NA NA NA 3.62835496442146 4.63342178600577 22.4034732087337 82.333 NA NA 51702.81640625 3.32 40.7339645446385 25.1894460666519 12.5
"39" "China" "CHN" 28.5289993286133 40.848 61 -1741996 59.152 7.54390764144927 100 27.8875617671767 1392730000 NA 6.56697385961871 18.7313138032856 2.89923579925941 NA 4.42399978637695 96.84089 NA 25.2 99.9982944622564 203492014029.265 49091588369.0827 3168216331199.09 78.828 74.315 NA 26.5 NA 10.9208835350654 NA 9.2 89.3 7.4 4692008 25964800000 NA NA NA NA NA 10.8844351156334 1.52341960462756 NA 78.828 NA NA 31379.9921875 3.61 3.10527790612515 148.348833270666 18.2
"40" "Cote d'Ivoire" "CIV" 53.1180000305176 49.221 142 -40000 50.779 0.487688034135766 65.6357574462891 19.6287488538239 25069229 NA 7.43307162464457 29.2470562631073 -0.883930110423883 4.36816 2.4449999332428 47.16535 NA 56 100 912856300.8215 NA NA 58.32 55.864 NA NA NA 2.85894301500285 NA 2.4 37.2 59.4 15188 471300000 NA NA NA NA NA NA NA NA 58.32 NA NA 12113.244140625 3.08 38.6552483035222 78.8340534591195 23.6
