"Country" "Lat" "Long" "X4.6.20" "X4.7.20" "X4.8.20" "SL.AGR.EMPL.MA.ZS" "SP.RUR.TOTL.ZS" "SH.TBS.INCD" "SM.POP.NETM" "SP.URB.TOTL.IN.ZS" "EN.ATM.CO2E.PC" "EG.ELC.ACCS.ZS" "EN.URB.MCTY.TL.ZS" "SP.POP.TOTL" "NY.GDP.MKTP.KD.ZG" "NE.IMP.GNFS.ZS" "SL.UEM.TOTL.ZS" "EN.ATM.PM25.MC.ZS" "BX.KLT.DINV.CD.WD" "BN.CAB.XOKA.CD" "FI.RES.TOTL.CD" "SP.DYN.LE00.FE.IN" "SP.DYN.LE00.MA.IN" "SH.SGR.CRSK.ZS" "SP.POP.65UP.TO.ZS" "SH.STA.DIAB.ZS" "SH.DTH.NCOM.ZS" "SP.DYN.IMRT.IN" "IS.AIR.DPRT" "ST.INT.XPND.MP.ZS" "ST.INT.RCPT.XP.ZS" "SP.DYN.LE00.FE.IN.1" "SL.GDP.PCAP.EM.KD" "LP.LPI.OVRL.XQ" "EN.URB.LCTY.UR.ZS" "EN.POP.DNST" "SH.STA.TRAF.P5"
"21" "Bolivia" -16.2902 -63.5887 183 194 210 27.8390007019043 30.575 108 -47520 69.425 1.90636431997446 91.8 41.3356144052457 11353142 4.22362493214148 31.1211697950131 3.26600003242493 99.9991320215104 255082885.984613 -1989598183.43618 8929614182.53614 73.878 68.173 24.3 7.19194739218447 6.8 64.5 21.8 56592 8.57247022443529 9.3767084989034 73.878 15840.8193359375 2.36 23.0158036386824 10.4801458506416 15.5
"22" "Bosnia and Herzegovina" 43.9159 17.6791 674 764 804 16.2609996795654 51.755 25 -107926 48.245 6.38493881859933 100 21.8445875860056 3323929 3.62354616011993 55.7808947028023 21.2180004119873 99.9552350286901 488903026.034015 -750578394.081284 6808433501.27296 79.581 74.622 3.2 16.4703174710621 9 94.5 5 81784.5627327009 3.17729110607052 12.7259930289803 79.581 39423.4453125 2.81 21.3625961100753 64.92048828125 15.7
"23" "Botswana" -22.3285 24.6849 6 6 6 26.8390007019043 30.554 275 14999 69.446 3.3674513337553 62.8249473571777 32.855332214293 2254126 4.45358456639946 37.7659524881694 18.1919994354248 100 228718290.832085 345270348.558078 6656913637.84624 71.559 65.79 13.8 4.22387434629301 5.8 45.7 30 6774 3.681548740744 7.8366555775719 71.559 40666.953125 2.61626948498698 35.6191345219129 3.97742487604327 23.8
"24" "Brazil" -14.235 -51.9253 12161 14034 16170 13.039999961853 13.431 45 106000 86.569 2.61293352087838 100 41.9461931451321 209469333 1.11758734985511 14.2767004326273 12.2180004119873 68.1350300575805 78162572752.95 -41539692295.48 374709673447.828 79.156 71.804 12.9 8.92283783244003 10.4 73.9 12.8 832683 8.62714428399348 2.29983252453008 79.156 33194.62890625 2.99 11.939294933562 25.0617162430876 19.7
"25" "Brunei" 4.5353 114.7277 135 135 135 2 22.371 68 0 77.629 22.229177902672 100 22.97265691691 428962 0.0522377907767719 41.964043494891 9.24499988555908 0 511497137.753507 1067951167.66808 3407126454.77295 76.819 74.454 17.3981865079365 4.87314756750582 13.3 84.8 9.8 11310 10.2962198251364 2.69850388505865 76.819 170535.765625 2.71 28.105114524712 81.3969639468691 18.258091177828
"26" "Bulgaria" 42.7339 25.4858 549 577 593 9.02600002288818 24.992 22 -24001 75.008 5.87161586934993 100 18.1147333738029 7024216 3.08115723374425 64.3108705743695 4.81899976730347 99.8946743201431 1222580000 3492220000 28711039864.6649 78.5 71.3 9.8 21.021914434268 6 95.2 5.9 11435 5.41494713377715 11.6729699630456 78.5 44353.84765625 3.03 24.1504015013882 64.7035372144436 10.2
"27" "Burkina Faso" 12.2383 -1.5616 364 384 414 34.7540016174316 70.642 48 -125000 29.358 0.162018437716738 25.4737434387207 12.8161228988025 19751535 6.83238810300897 37.2388430772549 6.14900016784668 100 480001741.8593 -4346689112.563 31282991842.276 61.43 59.981 69.5 2.40698082866355 7.3 32.7 49 4270 4.78423211908515 8.4547775648786 61.43 5280.03076171875 2.62 43.6546158282195 72.1912828947368 30.5
"28" "Burma" 21.9162 95.956 22 22 22 53.1240005493164 69.421 338 -816564 30.579 0.413758590222221 69.8148365975088 12.1610820803712 53708395 6.20005107153845 42.0227336048394 1.57500004768372 100 1291196200.66864 -2137161106.25889 5646407387.45813 69.603 63.419 58.6647425303455 5.78464193257209 3.9 67.8 36.8 64397.9644896858 0.625447844166508 10.5932971498983 69.603 14095.1201171875 2.3 31.4029539397534 82.2386154835549 19.9
"29" "Burundi" -3.3731 29.9189 3 3 3 87.2870025634766 86.968 111 10003 13.032 0.0446999922899522 9.3 19.145521454666 11175378 1.60993308234522 30.5033368824551 1.53799998760223 100 983747.12499426 -362644693.882423 68126200.7714545 62.675 59.092 83.9 2.24694046033717 5.1 32.1 41 92618.2710093695 2.54060975902162 1.36791479575936 62.675 1614.05200195313 2.06 61.726409750236 435.178271028037 34.7
"30" "Cabo Verde" 16.5388 -23.0418 7 7 7 17.9750003814697 34.268 46 -6709 65.732 0.948113817341959 92.9136352539063 18.6144669080579 543767 5.07755082887782 68.2078053781849 12.3030004501343 100 107974093.736283 -94519229.6261681 606430600.295088 75.812 69.089 19.8 4.60932715666821 2.4 70.3 16.7 1546 7.22106468714003 53.5842255392712 75.812 15359.869140625 2.57836528822055 35.3741504244824 134.929776674938 25
