"Country" "CCode" "INome" "Indicador" "Ano"
"238" "Tonga" "TON" "Mortality caused by road traffic injury (per 100,000 people)" 16.8 "X2016"
"239" "South Asia (IDA & IBRD)" "TSA" "Mortality caused by road traffic injury (per 100,000 people)" 20.6415574218229 "X2016"
"240" "Sub-Saharan Africa (IDA & IBRD countries)" "TSS" "Mortality caused by road traffic injury (per 100,000 people)" 26.8753643941121 "X2016"
"241" "Trinidad and Tobago" "TTO" "Mortality caused by road traffic injury (per 100,000 people)" 12.1 "X2016"
"242" "Tunisia" "TUN" "Mortality caused by road traffic injury (per 100,000 people)" 22.8 "X2016"
"243" "Turkey" "TUR" "Mortality caused by road traffic injury (per 100,000 people)" 12.3 "X2016"
"244" "Tuvalu" "TUV" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"245" "Tanzania" "TZA" "Mortality caused by road traffic injury (per 100,000 people)" 29.2 "X2016"
"246" "Uganda" "UGA" "Mortality caused by road traffic injury (per 100,000 people)" 29 "X2016"
"247" "Ukraine" "UKR" "Mortality caused by road traffic injury (per 100,000 people)" 13.7 "X2016"
"248" "Upper middle income" "UMC" "Mortality caused by road traffic injury (per 100,000 people)" 18.5162271828745 "X2016"
"249" "Uruguay" "URY" "Mortality caused by road traffic injury (per 100,000 people)" 13.4 "X2016"
"250" "United States" "USA" "Mortality caused by road traffic injury (per 100,000 people)" 12.4 "X2016"
"251" "Uzbekistan" "UZB" "Mortality caused by road traffic injury (per 100,000 people)" 11.5 "X2016"
"252" "St. Vincent and the Grenadines" "VCT" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"253" "Venezuela, RB" "VEN" "Mortality caused by road traffic injury (per 100,000 people)" 33.7 "X2016"
"254" "British Virgin Islands" "VGB" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"255" "Virgin Islands (U.S.)" "VIR" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"256" "Vietnam" "VNM" "Mortality caused by road traffic injury (per 100,000 people)" 26.4 "X2016"
"257" "Vanuatu" "VUT" "Mortality caused by road traffic injury (per 100,000 people)" 15.9 "X2016"
"258" "World" "WLD" "Mortality caused by road traffic injury (per 100,000 people)" 18.1348599548381 "X2016"
"259" "Samoa" "WSM" "Mortality caused by road traffic injury (per 100,000 people)" 11.3 "X2016"
"260" "Kosovo" "XKX" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"261" "Yemen, Rep." "YEM" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"262" "South Africa" "ZAF" "Mortality caused by road traffic injury (per 100,000 people)" 25.9 "X2016"
"263" "Zambia" "ZMB" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"264" "Zimbabwe" "ZWE" "Mortality caused by road traffic injury (per 100,000 people)" 34.7 "X2016"
