"Country" "CCode" "INome" "Indicador" "Ano"
"214" "Sub-Saharan Africa (excluding high income)" "SSA" "Air transport, registered carrier departures worldwide" 769232.347538463 "X2018"
"215" "South Sudan" "SSD" "Air transport, registered carrier departures worldwide" NA "X2018"
"216" "Sub-Saharan Africa" "SSF" "Air transport, registered carrier departures worldwide" 787903.347538463 "X2018"
"217" "Small states" "SST" "Air transport, registered carrier departures worldwide" 773348.909281233 "X2018"
"218" "Sao Tome and Principe" "STP" "Air transport, registered carrier departures worldwide" NA "X2018"
"219" "Suriname" "SUR" "Air transport, registered carrier departures worldwide" 3225 "X2018"
"220" "Slovak Republic" "SVK" "Air transport, registered carrier departures worldwide" NA "X2018"
"221" "Slovenia" "SVN" "Air transport, registered carrier departures worldwide" 18444 "X2018"
"222" "Sweden" "SWE" "Air transport, registered carrier departures worldwide" NA "X2018"
"223" "Eswatini" "SWZ" "Air transport, registered carrier departures worldwide" NA "X2018"
"224" "Sint Maarten (Dutch part)" "SXM" "Air transport, registered carrier departures worldwide" NA "X2018"
"225" "Seychelles" "SYC" "Air transport, registered carrier departures worldwide" 18671 "X2018"
"226" "Syrian Arab Republic" "SYR" "Air transport, registered carrier departures worldwide" 167.753530166881 "X2018"
"227" "Turks and Caicos Islands" "TCA" "Air transport, registered carrier departures worldwide" NA "X2018"
"228" "Chad" "TCD" "Air transport, registered carrier departures worldwide" NA "X2018"
"229" "East Asia & Pacific (IDA & IBRD countries)" "TEA" "Air transport, registered carrier departures worldwide" 7383612.85519138 "X2018"
"230" "Europe & Central Asia (IDA & IBRD countries)" "TEC" "Air transport, registered carrier departures worldwide" 2196561.91697346 "X2018"
"231" "Togo" "TGO" "Air transport, registered carrier departures worldwide" 11559 "X2018"
"232" "Thailand" "THA" "Air transport, registered carrier departures worldwide" 475886.496 "X2018"
"233" "Tajikistan" "TJK" "Air transport, registered carrier departures worldwide" 4021 "X2018"
"234" "Turkmenistan" "TKM" "Air transport, registered carrier departures worldwide" 18184 "X2018"
"235" "Latin America & the Caribbean (IDA & IBRD countries)" "TLA" "Air transport, registered carrier departures worldwide" 2751003.29213874 "X2018"
"236" "Timor-Leste" "TLS" "Air transport, registered carrier departures worldwide" NA "X2018"
"237" "Middle East & North Africa (IDA & IBRD countries)" "TMN" "Air transport, registered carrier departures worldwide" 625199.79806317 "X2018"
"238" "Tonga" "TON" "Air transport, registered carrier departures worldwide" NA "X2018"
"239" "South Asia (IDA & IBRD)" "TSA" "Air transport, registered carrier departures worldwide" 1512779.2747231 "X2018"
"240" "Sub-Saharan Africa (IDA & IBRD countries)" "TSS" "Air transport, registered carrier departures worldwide" 787903.347538463 "X2018"
"241" "Trinidad and Tobago" "TTO" "Air transport, registered carrier departures worldwide" 32770 "X2018"
