"Country" "CCode" "INome" "Indicador" "Ano"
"170" "Namibia" "NAM" "Literacy rate, adult total (% of people ages 15 and above)" 91.52727 "X2018"
"171" "New Caledonia" "NCL" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"172" "Niger" "NER" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"173" "Nigeria" "NGA" "Literacy rate, adult total (% of people ages 15 and above)" 62.01601 "X2018"
"174" "Nicaragua" "NIC" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"175" "Netherlands" "NLD" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"176" "Norway" "NOR" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"177" "Nepal" "NPL" "Literacy rate, adult total (% of people ages 15 and above)" 67.90843 "X2018"
"178" "Nauru" "NRU" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"179" "New Zealand" "NZL" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"180" "OECD members" "OED" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"181" "Oman" "OMN" "Literacy rate, adult total (% of people ages 15 and above)" 95.65153 "X2018"
"182" "Other small states" "OSS" "Literacy rate, adult total (% of people ages 15 and above)" 84.52881 "X2018"
"183" "Pakistan" "PAK" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"184" "Panama" "PAN" "Literacy rate, adult total (% of people ages 15 and above)" 95.41181 "X2018"
"185" "Peru" "PER" "Literacy rate, adult total (% of people ages 15 and above)" 94.40827 "X2018"
"186" "Philippines" "PHL" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"187" "Palau" "PLW" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"188" "Papua New Guinea" "PNG" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"189" "Poland" "POL" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"190" "Pre-demographic dividend" "PRE" "Literacy rate, adult total (% of people ages 15 and above)" 62.64361 "X2018"
"191" "Puerto Rico" "PRI" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"192" "Korea, Dem. People’s Rep." "PRK" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"193" "Portugal" "PRT" "Literacy rate, adult total (% of people ages 15 and above)" 96.13759 "X2018"
"194" "Paraguay" "PRY" "Literacy rate, adult total (% of people ages 15 and above)" 94.0208 "X2018"
"195" "West Bank and Gaza" "PSE" "Literacy rate, adult total (% of people ages 15 and above)" 97.21861 "X2018"
"196" "Pacific island small states" "PSS" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"197" "Post-demographic dividend" "PST" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"198" "French Polynesia" "PYF" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"199" "Qatar" "QAT" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"200" "Romania" "ROU" "Literacy rate, adult total (% of people ages 15 and above)" 98.8445 "X2018"
"201" "Russian Federation" "RUS" "Literacy rate, adult total (% of people ages 15 and above)" 99.73006 "X2018"
"202" "Rwanda" "RWA" "Literacy rate, adult total (% of people ages 15 and above)" 73.21559 "X2018"
"203" "South Asia" "SAS" "Literacy rate, adult total (% of people ages 15 and above)" 72.25239 "X2018"
"204" "Saudi Arabia" "SAU" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"205" "Sudan" "SDN" "Literacy rate, adult total (% of people ages 15 and above)" 60.69718 "X2018"
"206" "Senegal" "SEN" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"207" "Singapore" "SGP" "Literacy rate, adult total (% of people ages 15 and above)" 97.34486 "X2018"
"208" "Solomon Islands" "SLB" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"209" "Sierra Leone" "SLE" "Literacy rate, adult total (% of people ages 15 and above)" 43.20633 "X2018"
