"Country" "CCode" "INome" "Indicador" "Ano"
"208" "Solomon Islands" "SLB" "Life expectancy at birth, male (years)" 70.984 "X2017"
"209" "Sierra Leone" "SLE" "Life expectancy at birth, male (years)" 53.049 "X2017"
"210" "El Salvador" "SLV" "Life expectancy at birth, male (years)" 68.006 "X2017"
"211" "San Marino" "SMR" "Life expectancy at birth, male (years)" NA "X2017"
"212" "Somalia" "SOM" "Life expectancy at birth, male (years)" 55.067 "X2017"
"213" "Serbia" "SRB" "Life expectancy at birth, male (years)" 73.6 "X2017"
"214" "Sub-Saharan Africa (excluding high income)" "SSA" "Life expectancy at birth, male (years)" 59.1416654303711 "X2017"
"215" "South Sudan" "SSD" "Life expectancy at birth, male (years)" 55.88 "X2017"
"216" "Sub-Saharan Africa" "SSF" "Life expectancy at birth, male (years)" 59.1427144394588 "X2017"
"217" "Small states" "SST" "Life expectancy at birth, male (years)" 67.59556416495 "X2017"
"218" "Sao Tome and Principe" "STP" "Life expectancy at birth, male (years)" 67.565 "X2017"
"219" "Suriname" "SUR" "Life expectancy at birth, male (years)" 68.274 "X2017"
"220" "Slovak Republic" "SVK" "Life expectancy at birth, male (years)" 73.8 "X2017"
"221" "Slovenia" "SVN" "Life expectancy at birth, male (years)" 78.2 "X2017"
"222" "Sweden" "SWE" "Life expectancy at birth, male (years)" 80.6 "X2017"
"223" "Eswatini" "SWZ" "Life expectancy at birth, male (years)" 54.329 "X2017"
"224" "Sint Maarten (Dutch part)" "SXM" "Life expectancy at birth, male (years)" NA "X2017"
"225" "Seychelles" "SYC" "Life expectancy at birth, male (years)" 70.3 "X2017"
"226" "Syrian Arab Republic" "SYR" "Life expectancy at birth, male (years)" 65.407 "X2017"
"227" "Turks and Caicos Islands" "TCA" "Life expectancy at birth, male (years)" NA "X2017"
"228" "Chad" "TCD" "Life expectancy at birth, male (years)" 52.315 "X2017"
"229" "East Asia & Pacific (IDA & IBRD countries)" "TEA" "Life expectancy at birth, male (years)" 72.6591178046408 "X2017"
"230" "Europe & Central Asia (IDA & IBRD countries)" "TEC" "Life expectancy at birth, male (years)" 69.9269363506798 "X2017"
"231" "Togo" "TGO" "Life expectancy at birth, male (years)" 59.644 "X2017"
"232" "Thailand" "THA" "Life expectancy at birth, male (years)" 72.977 "X2017"
"233" "Tajikistan" "TJK" "Life expectancy at birth, male (years)" 68.493 "X2017"
"234" "Turkmenistan" "TKM" "Life expectancy at birth, male (years)" 64.504 "X2017"
"235" "Latin America & the Caribbean (IDA & IBRD countries)" "TLA" "Life expectancy at birth, male (years)" 72.001543442476 "X2017"
"236" "Timor-Leste" "TLS" "Life expectancy at birth, male (years)" 67.053 "X2017"
"237" "Middle East & North Africa (IDA & IBRD countries)" "TMN" "Life expectancy at birth, male (years)" 71.5536050873126 "X2017"
