"Country" "CCode" "INome" "Indicador" "Ano"
"191" "Puerto Rico" "PRI" "Total reserves (includes gold, current US$)" NA "X2018"
"192" "Korea, Dem. People’s Rep." "PRK" "Total reserves (includes gold, current US$)" NA "X2018"
"193" "Portugal" "PRT" "Total reserves (includes gold, current US$)" 24920338987.3177 "X2018"
"194" "Paraguay" "PRY" "Total reserves (includes gold, current US$)" 7738519105.8012 "X2018"
"195" "West Bank and Gaza" "PSE" "Total reserves (includes gold, current US$)" 537846124.64 "X2018"
"196" "Pacific island small states" "PSS" "Total reserves (includes gold, current US$)" NA "X2018"
"197" "Post-demographic dividend" "PST" "Total reserves (includes gold, current US$)" NA "X2018"
"198" "French Polynesia" "PYF" "Total reserves (includes gold, current US$)" NA "X2018"
"199" "Qatar" "QAT" "Total reserves (includes gold, current US$)" 30358280804.0766 "X2018"
"200" "Romania" "ROU" "Total reserves (includes gold, current US$)" 42129061937.9341 "X2018"
"201" "Russian Federation" "RUS" "Total reserves (includes gold, current US$)" 468645216082.719 "X2018"
"202" "Rwanda" "RWA" "Total reserves (includes gold, current US$)" 1238058758.16221 "X2018"
"203" "South Asia" "SAS" "Total reserves (includes gold, current US$)" NA "X2018"
"204" "Saudi Arabia" "SAU" "Total reserves (includes gold, current US$)" 509468527336.473 "X2018"
"205" "Sudan" "SDN" "Total reserves (includes gold, current US$)" NA "X2018"
"206" "Senegal" "SEN" "Total reserves (includes gold, current US$)" NA "X2018"
"207" "Singapore" "SGP" "Total reserves (includes gold, current US$)" 292715632357.011 "X2018"
"208" "Solomon Islands" "SLB" "Total reserves (includes gold, current US$)" 617115407.092056 "X2018"
"209" "Sierra Leone" "SLE" "Total reserves (includes gold, current US$)" 502557290.862546 "X2018"
"210" "El Salvador" "SLV" "Total reserves (includes gold, current US$)" 3568810597.97393 "X2018"
"211" "San Marino" "SMR" "Total reserves (includes gold, current US$)" 338957476.907088 "X2018"
"212" "Somalia" "SOM" "Total reserves (includes gold, current US$)" NA "X2018"
"213" "Serbia" "SRB" "Total reserves (includes gold, current US$)" 12874374086.5037 "X2018"
"214" "Sub-Saharan Africa (excluding high income)" "SSA" "Total reserves (includes gold, current US$)" NA "X2018"
"215" "South Sudan" "SSD" "Total reserves (includes gold, current US$)" NA "X2018"
"216" "Sub-Saharan Africa" "SSF" "Total reserves (includes gold, current US$)" NA "X2018"
"217" "Small states" "SST" "Total reserves (includes gold, current US$)" NA "X2018"
"218" "Sao Tome and Principe" "STP" "Total reserves (includes gold, current US$)" 43683545.117539 "X2018"
"219" "Suriname" "SUR" "Total reserves (includes gold, current US$)" 580780344.590911 "X2018"
"220" "Slovak Republic" "SVK" "Total reserves (includes gold, current US$)" 5229297354.833 "X2018"
