"Country" "CCode" "INome" "Indicador" "Ano"
"252" "St. Vincent and the Grenadines" "VCT" "Current account balance (BoP, current US$)" -99139008.4906674 "X2018"
"253" "Venezuela, RB" "VEN" "Current account balance (BoP, current US$)" NA "X2018"
"254" "British Virgin Islands" "VGB" "Current account balance (BoP, current US$)" NA "X2018"
"255" "Virgin Islands (U.S.)" "VIR" "Current account balance (BoP, current US$)" NA "X2018"
"256" "Vietnam" "VNM" "Current account balance (BoP, current US$)" 5899353000.00003 "X2018"
"257" "Vanuatu" "VUT" "Current account balance (BoP, current US$)" 85386780.2739081 "X2018"
"258" "World" "WLD" "Current account balance (BoP, current US$)" NA "X2018"
"259" "Samoa" "WSM" "Current account balance (BoP, current US$)" 20469711.5181175 "X2018"
"260" "Kosovo" "XKX" "Current account balance (BoP, current US$)" -600498293.816061 "X2018"
"261" "Yemen, Rep." "YEM" "Current account balance (BoP, current US$)" NA "X2018"
"262" "South Africa" "ZAF" "Current account balance (BoP, current US$)" -13384035620.6971 "X2018"
"263" "Zambia" "ZMB" "Current account balance (BoP, current US$)" -342297144.809409 "X2018"
"264" "Zimbabwe" "ZWE" "Current account balance (BoP, current US$)" NA "X2018"
