"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Egypt, Arab Rep.","EGY","Net migration","SM.POP.NETM","","","-50100","","","","","-239700","","","","","-559179","","","","","-595294","","","","","-392930","","","","","-212184","","","","","-460404","","","","","-210899","","","","","-74464","","","","","-283573","","","","","-280944","","","","","-190164","","",
"Euro area","EMU","Net migration","SM.POP.NETM","","","808797","","","","","148964","","","","","2037462","","","","","1608797","","","","","731227","","","","","2221744","","","","","4087715","","","","","2351361","","","","","7296329","","","","","4188448","","","","","3610240","","","","","4446572","","",
"Eritrea","ERI","Net migration","SM.POP.NETM","","","6997","","","","","4999","","","","","10000","","","","","10000","","","","","10000","","","","","-40000","","","","","-314772","","","","","-129998","","","","","227290","","","","","-80009","","","","","-246000","","","","","-199290","","",
"Spain","ESP","Net migration","SM.POP.NETM","","","-193807","","","","","-145936","","","","","96990","","","","","76903","","","","","-43292","","","","","-67680","","","","","319270","","","","","931072","","","","","2908209","","","","","2273848","","","","","-520442","","","","","200000","","",
"Estonia","EST","Net migration","SM.POP.NETM","","","43228","","","","","41204","","","","","30581","","","","","30510","","","","","25900","","","","","15497","","","","","-111876","","","","","-1197","","","","","-18406","","","","","-15151","","","","","-10516","","","","","19555","","",
"Ethiopia","ETH","Net migration","SM.POP.NETM","","","-19999","","","","","-42182","","","","","-59597","","","","","-2112372","","","","","248546","","","","","765993","","","","","1457943","","","","","-155577","","","","","-150001","","","","","-50132","","","","","399997","","","","","150002","","",
"European Union","EUU","Net migration","SM.POP.NETM","","","1017058","","","","","-49174","","","","","1936808","","","","","1491666","","","","","216934","","","","","1739056","","","","","3465020","","","","","2134394","","","","","7845817","","","","","5956985","","","","","4677494","","","","","5584898","","",
"Fragile and conflict affected situations","FCS","Net migration","SM.POP.NETM","","","-126612","","","","","-266229","","","","","-622099","","","","","11891","","","","","-4800212","","","","","-5460019","","","","","2506493","","","","","-3676549","","","","","-2227981","","","","","-4726628","","","","","-6197192","","","","","-6325944","","",
"Finland","FIN","Net migration","SM.POP.NETM","","","-64984","","","","","-97937","","","","","28880","","","","","-29377","","","","","26181","","","","","18268","","","","","47223","","","","","22154","","","","","31935","","","","","57558","","","","","81416","","","","","70000","","",
"Fiji","FJI","Net migration","SM.POP.NETM","","","-3455","","","","","-14279","","","","","-15145","","","","","-22230","","","","","-12677","","","","","-66996","","","","","-33803","","","","","-38692","","","","","-58598","","","","","-23691","","","","","-51950","","","","","-31008","","",
"France","FRA","Net migration","SM.POP.NETM","","","1417869","","","","","491613","","","","","543072","","","","","258429","","","","","291570","","","","","276383","","","","","122170","","","","","193631","","","","","926483","","","","","446120","","","","","423831","","","","","182636","","",
"Faroe Islands","FRO","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Net migration","SM.POP.NETM","","","454","","","","","429","","","","","-7534","","","","","120","","","","","445","","","","","-1902","","","","","-1662","","","","","-12788","","","","","-12284","","","","","-12278","","","","","-2999","","","","","-2999","","",
"Gabon","GAB","Net migration","SM.POP.NETM","","","9410","","","","","16188","","","","","2999","","","","","4999","","","","","4999","","","","","4999","","","","","4999","","","","","9566","","","","","24820","","","","","63698","","","","","100317","","","","","16301","","",
"United Kingdom","GBR","Net migration","SM.POP.NETM","","","143068","","","","","-84853","","","","","106415","","","","","39119","","","","","-97495","","","","","98758","","","","","205443","","","","","513361","","","","","992223","","","","","2189404","","","","","1300231","","","","","1303250","","",
"Georgia","GEO","Net migration","SM.POP.NETM","","","96284","","","","","85200","","","","","-73426","","","","","-95445","","","","","-47827","","","","","-43659","","","","","-591854","","","","","-653597","","","","","-148337","","","","","-119811","","","","","-95340","","","","","-50000","","",
"Ghana","GHA","Net migration","SM.POP.NETM","","","30000","","","","","-260133","","","","","-143000","","","","","-459839","","","","","-12339","","","","","-40000","","","","","-16000","","","","","-126999","","","","","25002","","","","","150000","","","","","-50000","","","","","-50000","","",
"Gibraltar","GIB","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","-87571","","","","","-156695","","","","","-83323","","","","","0","","","","","-134975","","","","","-181099","","","","","-349998","","","","","-311422","","","","","-293749","","","","","-20000","","",
"Gambia, The","GMB","Net migration","SM.POP.NETM","","","5282","","","","","13403","","","","","14403","","","","","14580","","","","","14883","","","","","60597","","","","","2620","","","","","-4570","","","","","1517","","","","","-15436","","","","","-15436","","","","","-15436","","",
